game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season,num_game,a_fgm,a_fga,a_fg_pct,a_fg3m,a_fg3a,a_fg3_pct,a_ftm,a_fta,a_ft_pct,a_oreb,a_dreb,a_reb,a_ast,a_stl,a_blk,a_tov,a_pf,a_pts,a_num_game,spread
21600611,2017-01-15,CHI @ MEM,1610612763,t,L,25,18,0.581,240,40,95,0.421,11,32,0.344,13,13,1,13,37,50,24,6,3,10,22,104,1610612741,2016,Regular Season,2016-17,43,40,78,0.513,4,17,0.235,24,35,1,6,41,47,18,8,5,12,14,108,42,8.25
21600073,2016-11-04,NYK @ CHI,1610612741,t,L,3,2,0.6,240,37,84,0.44,8,23,0.348,22,27,1,15,27,42,15,4,4,12,16,104,1610612752,2016,Regular Season,2016-17,5,46,89,0.517,9,21,0.429,16,21,1,11,29,40,32,7,2,5,23,117,5,7.5
21601055,2017-03-21,GSW @ DAL,1610612742,t,L,30,40,0.429,240,33,92,0.359,11,34,0.324,10,12,1,13,26,39,24,8,2,11,14,87,1610612744,2016,Regular Season,2016-17,70,43,78,0.551,13,30,0.433,13,16,1,4,42,46,34,10,2,16,20,112,71,-5
21600999,2017-03-14,DET @ CLE,1610612739,t,W,44,22,0.667,240,46,77,0.597,19,30,0.633,17,23,1,3,38,41,29,4,3,9,18,128,1610612765,2016,Regular Season,2016-17,66,37,99,0.374,4,19,0.211,18,19,1,16,29,45,20,6,1,8,19,96,67,7.25
21600678,2017-01-24,UTA @ DEN,1610612743,t,W,19,25,0.432,240,35,76,0.461,10,26,0.385,23,31,1,7,36,43,28,7,6,14,15,103,1610612762,2016,Regular Season,2016-17,44,35,85,0.412,7,22,0.318,16,21,1,8,32,40,19,6,3,11,21,93,47,1.75
21600642,2017-01-20,TOR @ CHA,1610612766,t,W,22,21,0.512,240,40,80,0.5,12,25,0.48,21,25,1,11,40,51,24,9,4,14,13,113,1610612761,2016,Regular Season,2016-17,43,29,86,0.337,7,30,0.233,13,14,1,8,25,33,10,7,5,12,20,78,43,1
21600720,2017-01-30,ORL @ MIN,1610612750,t,W,19,29,0.396,265,40,91,0.44,12,29,0.414,19,26,1,9,41,50,29,3,11,11,20,111,1610612753,2016,Regular Season,2016-17,48,41,96,0.427,10,35,0.286,13,19,1,11,37,48,22,7,3,11,25,105,50,8
21601069,2017-03-23,LAC @ DAL,1610612742,t,W,31,40,0.437,240,38,82,0.463,9,26,0.346,12,18,1,4,30,34,26,11,4,9,18,97,1610612746,2016,Regular Season,2016-17,71,36,80,0.45,9,27,0.333,14,21,1,9,36,45,18,6,2,17,16,95,73,-5.25
21600795,2017-02-09,PHI @ ORL,1610612753,t,L,20,35,0.364,240,41,84,0.488,10,21,0.476,19,24,1,7,40,47,27,4,8,21,20,111,1610612755,2016,Regular Season,2016-17,55,40,95,0.421,11,28,0.393,21,27,1,13,32,45,25,13,5,15,19,112,53,6.75
21600150,2016-11-14,MIA @ SAS,1610612759,t,W,8,3,0.727,240,33,82,0.402,8,15,0.533,20,27,1,14,38,52,24,4,7,17,15,94,1610612748,2016,Regular Season,2016-17,11,37,84,0.44,4,15,0.267,12,21,1,10,31,41,22,14,8,13,23,90,9,11
21600584,2017-01-11,ORL @ LAC,1610612746,t,W,27,14,0.659,240,39,76,0.513,9,26,0.346,18,26,1,9,40,49,23,11,5,21,20,105,1610612753,2016,Regular Season,2016-17,41,39,92,0.424,6,27,0.222,12,18,1,6,29,35,21,8,3,13,21,96,40,10.25
21600164,2016-11-16,HOU @ OKC,1610612760,t,W,7,5,0.583,240,40,84,0.476,12,25,0.48,13,14,1,5,39,44,25,7,7,16,15,105,1610612745,2016,Regular Season,2016-17,12,40,92,0.435,14,40,0.35,9,14,1,12,35,47,25,10,4,16,10,103,11,2.5
21600191,2016-11-19,GSW @ MIL,1610612749,t,L,5,7,0.417,240,46,89,0.517,10,20,0.5,19,25,1,10,31,41,27,7,1,13,23,121,1610612744,2016,Regular Season,2016-17,12,42,95,0.442,14,38,0.368,26,32,1,18,27,45,30,8,5,12,25,124,13,-9.25
21601216,2017-04-11,PHX @ SAC,1610612758,t,W,32,49,0.395,240,43,83,0.518,9,19,0.474,34,43,1,8,47,55,28,7,2,13,23,129,1610612756,2016,Regular Season,2016-17,81,41,109,0.376,8,30,0.267,14,24,1,18,30,48,19,8,3,9,23,104,82,4.25
21601061,2017-03-22,DET @ CHI,1610612741,t,W,34,38,0.472,240,47,80,0.588,11,23,0.478,12,19,1,7,29,36,36,12,2,11,20,117,1610612765,2016,Regular Season,2016-17,72,39,88,0.443,7,20,0.35,10,17,1,16,28,44,18,6,1,15,17,95,72,-2
21601040,2017-03-19,IND @ TOR,1610612761,t,W,41,29,0.586,240,45,91,0.495,12,27,0.444,14,16,1,14,37,51,25,7,7,16,20,116,1610612754,2016,Regular Season,2016-17,70,33,80,0.413,6,23,0.261,19,26,1,9,24,33,22,7,2,13,23,91,69,2.5
21601186,2017-04-07,OKC @ PHX,1610612756,t,W,23,57,0.288,240,43,83,0.518,8,18,0.444,26,31,1,12,33,45,16,6,6,7,26,120,1610612760,2016,Regular Season,2016-17,80,34,92,0.37,7,30,0.233,24,33,1,22,26,48,13,1,3,9,26,99,79,-9
21600834,2017-02-15,SAS @ ORL,1610612753,t,L,21,37,0.362,240,30,76,0.395,4,18,0.222,15,19,1,5,28,33,15,5,5,17,19,79,1610612759,2016,Regular Season,2016-17,58,42,89,0.472,8,31,0.258,15,19,1,11,39,50,25,12,8,12,16,107,56,-10.25
